title,location,time
PyConline AU 2021,"Online, Australia",16 Sept. – 20 Sept.  2022
PyCon Odessa 2021,"Damani-Hotel, Dachniy kooperatyv, plot 4, Karolino-Buhaz, Odesa region, Ukraine",16 Sept. – 20 Sept.  2022
PyCon India 2021,online,16 Sept. – 20 Sept.  2022
PyConTW 2021,Online,16 Sept. – 20 Sept.  2022
PyCon ZA 2021,Online,16 Sept. – 20 Sept.  2022
PyCon Sweden 2021,online,16 Sept. – 20 Sept.  2022
PyCon Chile,On line,16 Sept. – 20 Sept.  2022
PyCon APAC 2021,"Bangkok, Thailand and online",16 Sept. – 20 Sept.  2022
Xtreme Python,Online (Israel),16 Sept. – 20 Sept.  2022
PyCon Namibia 2022,,16 Sept. – 20 Sept.  2022
Kiwi PyCon,"Ōtautahi/Christchurch, Aotearoa/New Zealand",16 Sept. – 20 Sept.  2022
PyCon Italy 12,"Florence, Italy",16 Sept. – 20 Sept.  2022
EuroPython 2022,"Dublin, Ireland",16 Sept. – 20 Sept.  2022
PyCon UK 2022,"Cardiff City Hall, UK",16 Sept. – 20 Sept.  2022
